契約項目編號,契約項目名稱,單價
Y6N10C0008B0,接線 400~500  mm2 (含500mm2以上),173.87
Y6N10C0008C0,接線 400~500  mm2 (含500mm2以上),382.52
Y6N10C0008D0,接線 400~500  mm2 (含500mm2以上),191.26
Y6N10C0008E0,接線 400~500  mm2 (含500mm2以上),417.3
Y6N10C0008F0,接線 400~500  mm2 (含500mm2以上),208.65
Y6N10C0008G0,接線 400~500  mm2 (含500mm2以上),452.06
Y6N10C0008H0,接線 400~500  mm2 (含500mm2以上),226.04
Y6N10C0009A0,高壓馬達接線包紮  5KV/8KV 1/C  50mm2,204.56
Y6N10C0009B0,高壓馬達接線包紮  5KV/8KV 1/C  50mm2,102.28
Y6N10C0009C0,高壓馬達接線包紮  5KV/8KV 1/C  50mm2,225.01
Y6N10C0009D0,高壓馬達接線包紮  5KV/8KV 1/C  50mm2,112.51
Y6N10C0009E0,高壓馬達接線包紮  5KV/8KV 1/C  50mm2,245.46
Y6N10C0009F0,高壓馬達接線包紮  5KV/8KV 1/C  50mm2,122.74
Y6N10C0009G0,高壓馬達接線包紮  5KV/8KV 1/C  50mm2,265.92
Y6N10C0009H0,高壓馬達接線包紮  5KV/8KV 1/C  50mm2,132.96
Y6N10C0010A0,高壓馬達接線包紮  5KV/8KV 1/C  120mm2,245.46
Y6N10C0010B0,高壓馬達接線包紮  5KV/8KV 1/C  120mm2,122.74
Y6N10C0010C0,高壓馬達接線包紮  5KV/8KV 1/C  120mm2,270.01
Y6N10C0010D0,高壓馬達接線包紮  5KV/8KV 1/C  120mm2,135.01
Y6N10C0010E0,高壓馬達接線包紮  5KV/8KV 1/C  120mm2,294.56
Y6N10C0010F0,高壓馬達接線包紮  5KV/8KV 1/C  120mm2,147.27
Y6N10C0010G0,高壓馬達接線包紮  5KV/8KV 1/C  120mm2,319.11
Y6N10C0010H0,高壓馬達接線包紮  5KV/8KV 1/C  120mm2,159.55
Y6N10C0011A0,高壓馬達接線包紮  5KV/8KV 1/C  240mm2,327.29
Y6N10C0011B0,高壓馬達接線包紮  5KV/8KV 1/C  240mm2,163.64
Y6N10C0011C0,高壓馬達接線包紮  5KV/8KV 1/C  240mm2,360.01
Y6N10C0011D0,高壓馬達接線包紮  5KV/8KV 1/C  240mm2,180.01
Y6N10C0011E0,高壓馬達接線包紮  5KV/8KV 1/C  240mm2,392.75
Y6N10C0011F0,高壓馬達接線包紮  5KV/8KV 1/C  240mm2,196.37
Y6N10C0011G0,高壓馬達接線包紮  5KV/8KV 1/C  240mm2,425.48
Y6N10C0011H0,高壓馬達接線包紮  5KV/8KV 1/C  240mm2,212.74
Y6N10C1001A0,中間接線2 mm2及以下 (含熱縮套管),83.18
Y6N10C1001C0,中間接線2 mm2及以下 (含熱縮套管),91.5
Y6N10C1001E0,中間接線2 mm2及以下 (含熱縮套管),99.82
Y6N10C1001G0,中間接線2 mm2及以下 (含熱縮套管),108.14
Y6N10C1002A0,中間接線 3.5~5.5 mm2 (含熱縮套管),100.91
Y6N10C1002C0,中間接線 3.5~5.5 mm2 (含熱縮套管),111.01
Y6N10C1002E0,中間接線 3.5~5.5 mm2 (含熱縮套管),121.1
Y6N10C1002G0,中間接線 3.5~5.5 mm2 (含熱縮套管),131.19
Y6N10C1003A0,中間接線 8~14  mm2 (含熱縮套管),128.19
Y6N10C1003C0,中間接線 8~14  mm2 (含熱縮套管),141.01
Y6N10C1003E0,中間接線 8~14  mm2 (含熱縮套管),153.82
Y6N10C1003G0,中間接線 8~14  mm2 (含熱縮套管),166.64
Y6N10C1004A0,中間接線 22 mm2 (含熱縮套管),141.15
Y6N10C1004C0,中間接線 22 mm2 (含熱縮套管),155.25
Y6N10C1004E0,中間接線 22 mm2 (含熱縮套管),169.37
Y6N10C1004G0,中間接線 22 mm2 (含熱縮套管),183.48
Y6N10C1005A0,中間接線 38~60  mm2 (含熱縮套管),196.37
Y6N10C1005C0,中間接線 38~60  mm2 (含熱縮套管),216.01
Y6N10C1005E0,中間接線 38~60  mm2 (含熱縮套管),235.65
Y6N10C1005G0,中間接線 38~60  mm2 (含熱縮套管),255.28
Y6N10C1006A0,中間接線 100~150  mm2 (含熱縮套管),368.2
Y6N10C1006C0,中間接線 100~150  mm2 (含熱縮套管),405.02
Y6N10C1006E0,中間接線 100~150  mm2 (含熱縮套管),441.83
Y6N10C1006G0,中間接線 100~150  mm2 (含熱縮套管),478.66
Y6N10C1007A0,中間接線 200~325  mm2 (含熱縮套管),456.84
Y6N10C1007C0,中間接線 200~325  mm2 (含熱縮套管),502.53
Y6N10C1007E0,中間接線 200~325  mm2 (含熱縮套管),548.2
Y6N10C1007G0,中間接線 200~325  mm2 (含熱縮套管),593.89
Y6N10C1008A0,中間接線 400~500  mm2 (含熱縮套管),695.49
Y6N10C1008C0,中間接線 400~500  mm2 (含熱縮套管),765.03
Y6N10C1008E0,中間接線 400~500  mm2 (含熱縮套管),834.58
Y6N10C1008G0,中間接線 400~500  mm2 (含熱縮套管),904.14
Y6N10C1009A0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式)  5KV/8KV  50~120mm2*1C,613.67
Y6N10C1009C0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式)  5KV/8KV  50~120mm2*1C,675.03
Y6N10C1009E0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式)  5KV/8KV  50~120mm2*1C,736.39
Y6N10C1009G0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式)  5KV/8KV  50~120mm2*1C,797.77
Y6N10C1010A0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式)  5KV/8KV  240mm2*1C,818.22
Y6N10C1010C0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式)  5KV/8KV  240mm2*1C,900.04
Y6N10C1010E0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式)  5KV/8KV  240mm2*1C,981.86
Y6N10C1010G0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式)  5KV/8KV  240mm2*1C,1063.69
Y6N10C1011A0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式)  15KV  185~240mm2*1C,818.22
Y6N10C1011C0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式)  15KV  185~240mm2*1C,900.04
Y6N10C1011E0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式)  15KV  185~240mm2*1C,981.86
Y6N10C1011G0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式)  15KV  185~240mm2*1C,1063.69
Y6N10C1012A0,高壓交連ＰＥ電纜末端處理及接線 (纏繞式或ＣＧＩＳ)  5KV/8KV  50~240mm2*1C,1227.33
Y6N10C1012C0,高壓交連ＰＥ電纜末端處理及接線 (纏繞式或ＣＧＩＳ)  5KV/8KV  50~240mm2*1C,1350.06
Y6N10C1012E0,高壓交連ＰＥ電纜末端處理及接線 (纏繞式或ＣＧＩＳ)  5KV/8KV  50~240mm2*1C,1472.8
Y6N10C1012G0,高壓交連ＰＥ電纜末端處理及接線 (纏繞式或ＣＧＩＳ)  5KV/8KV  50~240mm2*1C,1595.53
Y6N10C1013A0,高壓交連ＰＥ電纜末端處理及接線 (纏繞式或ＧＩＳ)  15KV  185~240mm2*1C,1227.33
Y6N10C1013C0,高壓交連ＰＥ電纜末端處理及接線 (纏繞式或ＧＩＳ)  15KV  185~240mm2*1C,1350.06
Y6N10C1013E0,高壓交連ＰＥ電纜末端處理及接線 (纏繞式或ＧＩＳ)  15KV  185~240mm2*1C,1472.8
Y6N10C1013G0,高壓交連ＰＥ電纜末端處理及接線 (纏繞式或ＧＩＳ)  15KV  185~240mm2*1C,1595.53
Y6N10C1014A0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式） 36KV  185mm2*1C　,818.22
Y6N10C1014C0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式） 36KV  185mm2*1C　,900.04
Y6N10C1014E0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式） 36KV  185mm2*1C　,981.86
Y6N10C1014G0,高壓交連ＰＥ電纜末端處理及接線 (熱縮式或預鑄式） 36KV  185mm2*1C　,1063.69
Y6N10C1015A0,高壓交連ＰＥ電纜末端處理及接線（ＧＩＳ式） 36KV  185~400mm2*1C,1431.88
Y6N10C1015C0,高壓交連ＰＥ電纜末端處理及接線（ＧＩＳ式） 36KV  185~400mm2*1C,1575.08
Y6N10C1015E0,高壓交連ＰＥ電纜末端處理及接線（ＧＩＳ式） 36KV  185~400mm2*1C,1718.26
Y6N10C1015G0,高壓交連ＰＥ電纜末端處理及接線（ＧＩＳ式） 36KV  185~400mm2*1C,1861.45
Y6N10C1016A0,高壓交連ＰＥ電纜中間接續處理（熱縮式）　  5KV/8KV 50~120mm2*1C,1022.77
Y6N10C1016C0,高壓交連ＰＥ電纜中間接續處理（熱縮式）　  5KV/8KV 50~120mm2*1C,1125.05
Y6N10C1016E0,高壓交連ＰＥ電纜中間接續處理（熱縮式）　  5KV/8KV 50~120mm2*1C,1227.33
Y6N10C1016G0,高壓交連ＰＥ電纜中間接續處理（熱縮式）　  5KV/8KV 50~120mm2*1C,1329.6
Y6N10C1017A0,高壓交連ＰＥ電纜中間接續處理（熱縮式）　  5KV/8KV 240mm2*1C,1431.88
Y6N10C1017C0,高壓交連ＰＥ電纜中間接續處理（熱縮式）　  5KV/8KV 240mm2*1C,1575.08
Y6N10C1017E0,高壓交連ＰＥ電纜中間接續處理（熱縮式）　  5KV/8KV 240mm2*1C,1718.26
Y6N10C1017G0,高壓交連ＰＥ電纜中間接續處理（熱縮式）　  5KV/8KV 240mm2*1C,1861.45
Y6N10C1018A0,高壓交連ＰＥ電纜中間接續處理（熱縮式）  15KV 185~240mm2*1C,1636.44
Y6N10C1018C0,高壓交連ＰＥ電纜中間接續處理（熱縮式）  15KV 185~240mm2*1C,1800.09
Y6N10C1018E0,高壓交連ＰＥ電纜中間接續處理（熱縮式）  15KV 185~240mm2*1C,1963.73
Y6N10C1018G0,高壓交連ＰＥ電纜中間接續處理（熱縮式）  15KV 185~240mm2*1C,2127.37
Y6N10C1019A0,高壓交連ＰＥ電纜中間接續處理（熱縮式）  36KV  185~400mm2*1C,1840.99
Y6N10C1019C0,高壓交連ＰＥ電纜中間接續處理（熱縮式）  36KV  185~400mm2*1C,2025.09
Y6N10C1019E0,高壓交連ＰＥ電纜中間接續處理（熱縮式）  36KV  185~400mm2*1C,2209.19
Y6N10C1019G0,高壓交連ＰＥ電纜中間接續處理（熱縮式）  36KV  185~400mm2*1C,2393.29
Y6N10C1020A0,地線火藥熔接(不分尺寸),272.74
Y6N10C1020C0,地線火藥熔接(不分尺寸),300.01
Y6N10C1020E0,地線火藥熔接(不分尺寸),327.29
Y6N10C1020G0,地線火藥熔接(不分尺寸),354.56
Y6N10C1021A0,銲錫處理 2mm2及以下,67.5
Y6N10C1021C0,銲錫處理 2mm2及以下,74.25
Y6N10C1021E0,銲錫處理 2mm2及以下,81
Y6N10C1021G0,銲錫處理 2mm2及以下,87.75
Y6N10C1022A0,銲錫處理 3.5mm2,83.18
Y6N10C1022C0,銲錫處理 3.5mm2,91.5
Y6N10C1022E0,銲錫處理 3.5mm2,99.82
Y6N10C1022G0,銲錫處理 3.5mm2,108.14
Y6N10C1023A0,銲錫處理 5.5mm2,90
Y6N10C1023C0,銲錫處理 5.5mm2,99
Y6N10C1023E0,銲錫處理 5.5mm2,108.01
Y6N10C1023G0,銲錫處理 5.5mm2,117.01
Y6N10C1024A0,銲錫處理 8  mm2,93.41
Y6N10C1024C0,銲錫處理 8  mm2,102.76
Y6N10C1024E0,銲錫處理 8  mm2,112.1
Y6N10C1024G0,銲錫處理 8  mm2,121.44
Y6N10C1025A0,銲錫處理 14 mm2,101.94
Y6N10C1025C0,銲錫處理 14 mm2,112.13
Y6N10C1025E0,銲錫處理 14 mm2,122.33
Y6N10C1025G0,銲錫處理 14 mm2,132.52
Y6N10C2001A0,電腦線CAT5(e)  4P 24AWG接頭處理(含查線及導通測試),121.03
Y6N10C2002A0,電腦線CAT6  4P 24AWG接頭處理(兩件式或三件式),103.98
Y6N10C2003A0,"電腦線CAT6網路測試(4P=1SET,含報表)",311.95
Y6N10C2004A0,光纖接續、測試及收容整理(含熱縮套管),619.46
Y6N10C2005A0,光纖研磨(含ST接頭),751.05
Y6N10C2006A0,熱縮套管(BUS BAR 與 絕緣礙子 ),102.28
Y6N10C2007A0,同軸電纜接頭處理（含查線及測試）　,62.39
Y6N10C2008A0,Hipot Test,1284.22
Y6N10C3001A0,電線 2.0mm*1C,11.25
Y6N10C3001B0,電線 2.0mm*1C,5.63
Y6N10C3001C0,電線 2.0mm*1C,12.38
Y6N10C3001D0,電線 2.0mm*1C,6.19
Y6N10C3001E0,電線 2.0mm*1C,13.5
Y6N10C3001F0,電線 2.0mm*1C,6.75
Y6N10C3001G0,電線 2.0mm*1C,14.63
Y6N10C3001H0,電線 2.0mm*1C,7.31
Y6N10C3002A0,電力電纜 2mm2 *2C,13.64
Y6N10C3002B0,電力電纜 2mm2 *2C,6.82
Y6N10C3002C0,電力電纜 2mm2 *2C,15
Y6N10C3002D0,電力電纜 2mm2 *2C,7.5
Y6N10C3002E0,電力電纜 2mm2 *2C,16.37
Y6N10C3002F0,電力電纜 2mm2 *2C,8.18
Y6N10C3002G0,電力電纜 2mm2 *2C,17.73
Y6N10C3002H0,電力電纜 2mm2 *2C,8.86
Y6N10C3003A0,電力電纜 3.5mm2 *2C (含扁平線 2mm以下 *2C),13.64
Y6N10C3003B0,電力電纜 3.5mm2 *2C (含扁平線 2mm以下 *2C),6.82
Y6N10C3003C0,電力電纜 3.5mm2 *2C (含扁平線 2mm以下 *2C),15
Y6N10C3003D0,電力電纜 3.5mm2 *2C (含扁平線 2mm以下 *2C),7.5
Y6N10C3003E0,電力電纜 3.5mm2 *2C (含扁平線 2mm以下 *2C),16.37
Y6N10C3003F0,電力電纜 3.5mm2 *2C (含扁平線 2mm以下 *2C),8.18
Y6N10C3003G0,電力電纜 3.5mm2 *2C (含扁平線 2mm以下 *2C),17.73
Y6N10C3003H0,電力電纜 3.5mm2 *2C (含扁平線 2mm以下 *2C),8.86
Y6N10C3004A0,電力電纜 5.5mm2 *2C,17.05
Y6N10C3004B0,電力電纜 5.5mm2 *2C,8.52
Y6N10C3004C0,電力電纜 5.5mm2 *2C,18.75
Y6N10C3004D0,電力電纜 5.5mm2 *2C,9.38
Y6N10C3004E0,電力電纜 5.5mm2 *2C,20.46
Y6N10C3004F0,電力電纜 5.5mm2 *2C,10.23
Y6N10C3004G0,電力電纜 5.5mm2 *2C,22.16
Y6N10C3004H0,電力電纜 5.5mm2 *2C,11.08
Y6N10C3005A0,電力電纜 8mm2 *2C,20.46
Y6N10C3005B0,電力電纜 8mm2 *2C,10.23
Y6N10C3005C0,電力電纜 8mm2 *2C,22.5
Y6N10C3005D0,電力電纜 8mm2 *2C,11.25
Y6N10C3005E0,電力電纜 8mm2 *2C,24.55
Y6N10C3005F0,電力電纜 8mm2 *2C,12.27
Y6N10C3005G0,電力電纜 8mm2 *2C,26.59
Y6N10C3005H0,電力電纜 8mm2 *2C,13.3
Y6N10C3006A0,電力電纜 14mm2 *2C,27.28
Y6N10C3006B0,電力電纜 14mm2 *2C,13.64
Y6N10C3006C0,電力電纜 14mm2 *2C,30
Y6N10C3006D0,電力電纜 14mm2 *2C,15
Y6N10C3006E0,電力電纜 14mm2 *2C,32.73
Y6N10C3006F0,電力電纜 14mm2 *2C,16.37
Y6N10C3006G0,電力電纜 14mm2 *2C,35.46
Y6N10C3006H0,電力電纜 14mm2 *2C,17.73
Y6N10C3007A0,電力電纜 22mm2 *2C,34.1
Y6N10C3007B0,電力電纜 22mm2 *2C,17.05
Y6N10C3007C0,電力電纜 22mm2 *2C,37.51
Y6N10C3007D0,電力電纜 22mm2 *2C,18.75
Y6N10C3007E0,電力電纜 22mm2 *2C,40.92
Y6N10C3007F0,電力電纜 22mm2 *2C,20.46
Y6N10C3007G0,電力電纜 22mm2 *2C,44.32
Y6N10C3007H0,電力電纜 22mm2 *2C,22.16
Y6N10C3008A0,電力(遮蔽)電纜 2mm2 *3C,13.64
Y6N10C3008B0,電力(遮蔽)電纜 2mm2 *3C,6.82
Y6N10C3008C0,電力(遮蔽)電纜 2mm2 *3C,15
Y6N10C3008D0,電力(遮蔽)電纜 2mm2 *3C,7.5
Y6N10C3008E0,電力(遮蔽)電纜 2mm2 *3C,16.37
Y6N10C3008F0,電力(遮蔽)電纜 2mm2 *3C,8.18
Y6N10C3008G0,電力(遮蔽)電纜 2mm2 *3C,17.73
Y6N10C3008H0,電力(遮蔽)電纜 2mm2 *3C,8.86
Y6N10C3009A0,電力(遮蔽)電纜 3.5mm2 *3C,17.05
Y6N10C3009B0,電力(遮蔽)電纜 3.5mm2 *3C,8.52
Y6N10C3009C0,電力(遮蔽)電纜 3.5mm2 *3C,18.75
Y6N10C3009D0,電力(遮蔽)電纜 3.5mm2 *3C,9.38
Y6N10C3009E0,電力(遮蔽)電纜 3.5mm2 *3C,20.46
Y6N10C3009F0,電力(遮蔽)電纜 3.5mm2 *3C,10.23
Y6N10C3009G0,電力(遮蔽)電纜 3.5mm2 *3C,22.16
Y6N10C3009H0,電力(遮蔽)電纜 3.5mm2 *3C,11.08
Y6N10C3010A0,電力(遮蔽)電纜 5.5mm2 *3C,20.46
Y6N10C3010B0,電力(遮蔽)電纜 5.5mm2 *3C,10.23
Y6N10C3010C0,電力(遮蔽)電纜 5.5mm2 *3C,22.5
Y6N10C3010D0,電力(遮蔽)電纜 5.5mm2 *3C,11.25
Y6N10C3010E0,電力(遮蔽)電纜 5.5mm2 *3C,24.55
Y6N10C3010F0,電力(遮蔽)電纜 5.5mm2 *3C,12.27
Y6N10C3010G0,電力(遮蔽)電纜 5.5mm2 *3C,26.59
Y6N10C3010H0,電力(遮蔽)電纜 5.5mm2 *3C,13.3
Y6N10C3011A0,電力(遮蔽)電纜 8mm2 *3C,23.87
Y6N10C3011B0,電力(遮蔽)電纜 8mm2 *3C,11.93
Y6N10C3011C0,電力(遮蔽)電纜 8mm2 *3C,26.25
Y6N10C3011D0,電力(遮蔽)電纜 8mm2 *3C,13.13
Y6N10C3011E0,電力(遮蔽)電纜 8mm2 *3C,28.64
Y6N10C3011F0,電力(遮蔽)電纜 8mm2 *3C,14.32
Y6N10C3011G0,電力(遮蔽)電纜 8mm2 *3C,31.03
Y6N10C3011H0,電力(遮蔽)電纜 8mm2 *3C,15.51
Y6N10C3012A0,電力(遮蔽)電纜 14mm2 *3C,30.69
Y6N10C3012B0,電力(遮蔽)電纜 14mm2 *3C,15.34
Y6N10C3012C0,電力(遮蔽)電纜 14mm2 *3C,33.76
Y6N10C3012D0,電力(遮蔽)電纜 14mm2 *3C,16.88
Y6N10C3012E0,電力(遮蔽)電纜 14mm2 *3C,36.82
Y6N10C3012F0,電力(遮蔽)電纜 14mm2 *3C,18.41
Y6N10C3012G0,電力(遮蔽)電纜 14mm2 *3C,39.89
Y6N10C3012H0,電力(遮蔽)電纜 14mm2 *3C,19.95
Y6N10C3013A0,電力(遮蔽)電纜 22mm2 *3C,40.92
Y6N10C3013B0,電力(遮蔽)電纜 22mm2 *3C,20.46
Y6N10C3013C0,電力(遮蔽)電纜 22mm2 *3C,45.01
Y6N10C3013D0,電力(遮蔽)電纜 22mm2 *3C,22.5
Y6N10C3013E0,電力(遮蔽)電纜 22mm2 *3C,49.09
Y6N10C3013F0,電力(遮蔽)電纜 22mm2 *3C,24.55
Y6N10C3013G0,電力(遮蔽)電纜 22mm2 *3C,53.18
Y6N10C3013H0,電力(遮蔽)電纜 22mm2 *3C,26.59
Y6N10C3014A0,電力(遮蔽)電纜 3.5mm2 *4C (含5C),20.46
Y6N10C3014B0,電力(遮蔽)電纜 3.5mm2 *4C (含5C),10.23
Y6N10C3014C0,電力(遮蔽)電纜 3.5mm2 *4C (含5C),22.5
Y6N10C3014D0,電力(遮蔽)電纜 3.5mm2 *4C (含5C),11.25
Y6N10C3014E0,電力(遮蔽)電纜 3.5mm2 *4C (含5C),24.55
Y6N10C3014F0,電力(遮蔽)電纜 3.5mm2 *4C (含5C),12.27
Y6N10C3014G0,電力(遮蔽)電纜 3.5mm2 *4C (含5C),26.59
Y6N10C3014H0,電力(遮蔽)電纜 3.5mm2 *4C (含5C),13.3
Y6N10C3015A0,電力(遮蔽)電纜 5.5mm2 *4C (含5C),23.87
Y6N10C3015B0,電力(遮蔽)電纜 5.5mm2 *4C (含5C),11.93
Y6N10C3015C0,電力(遮蔽)電纜 5.5mm2 *4C (含5C),26.25
Y6N10C3015D0,電力(遮蔽)電纜 5.5mm2 *4C (含5C),13.13
Y6N10C3015E0,電力(遮蔽)電纜 5.5mm2 *4C (含5C),28.64
Y6N10C3015F0,電力(遮蔽)電纜 5.5mm2 *4C (含5C),14.32
Y6N10C3015G0,電力(遮蔽)電纜 5.5mm2 *4C (含5C),31.03
Y6N10C3015H0,電力(遮蔽)電纜 5.5mm2 *4C (含5C),15.51
Y6N10C3016A0,電力(遮蔽)電纜 8mm2 *4C,30.69
Y6N10C3016B0,電力(遮蔽)電纜 8mm2 *4C,15.34
Y6N10C3016C0,電力(遮蔽)電纜 8mm2 *4C,33.76
Y6N10C3016D0,電力(遮蔽)電纜 8mm2 *4C,16.88
Y6N10C3016E0,電力(遮蔽)電纜 8mm2 *4C,36.82
Y6N10C3016F0,電力(遮蔽)電纜 8mm2 *4C,18.41
Y6N10C3016G0,電力(遮蔽)電纜 8mm2 *4C,39.89
Y6N10C3016H0,電力(遮蔽)電纜 8mm2 *4C,19.95
Y6N10C3017A0,電力(遮蔽)電纜 14mm2 *4C,40.92
Y6N10C3017B0,電力(遮蔽)電纜 14mm2 *4C,20.46
Y6N10C3017C0,電力(遮蔽)電纜 14mm2 *4C,45.01
Y6N10C3017D0,電力(遮蔽)電纜 14mm2 *4C,22.5
Y6N10C3017E0,電力(遮蔽)電纜 14mm2 *4C,49.09
Y6N10C3017F0,電力(遮蔽)電纜 14mm2 *4C,24.55
Y6N10C3017G0,電力(遮蔽)電纜 14mm2 *4C,53.18
Y6N10C3017H0,電力(遮蔽)電纜 14mm2 *4C,26.59
Y6N10C3018A0,電力(遮蔽)電纜 22mm2 *4C,61.36
Y6N10C3018B0,電力(遮蔽)電纜 22mm2 *4C,30.69
Y6N10C3018C0,電力(遮蔽)電纜 22mm2 *4C,67.5
Y6N10C3018D0,電力(遮蔽)電纜 22mm2 *4C,33.76
Y6N10C3018E0,電力(遮蔽)電纜 22mm2 *4C,73.64
Y6N10C3018F0,電力(遮蔽)電纜 22mm2 *4C,36.82
Y6N10C3018G0,電力(遮蔽)電纜 22mm2 *4C,79.77
Y6N10C3018H0,電力(遮蔽)電纜 22mm2 *4C,39.89
Y6N10C3019A0,電力電纜 2mm2 *1C (含2mm2以下),11.25
Y6N10C3019B0,電力電纜 2mm2 *1C (含2mm2以下),5.63
Y6N10C3019C0,電力電纜 2mm2 *1C (含2mm2以下),12.38
Y6N10C3019D0,電力電纜 2mm2 *1C (含2mm2以下),6.19
Y6N10C3019E0,電力電纜 2mm2 *1C (含2mm2以下),13.5
Y6N10C3019F0,電力電纜 2mm2 *1C (含2mm2以下),6.75
Y6N10C3019G0,電力電纜 2mm2 *1C (含2mm2以下),14.63
Y6N10C3019H0,電力電纜 2mm2 *1C (含2mm2以下),7.31
Y6N10C3020A0,電力電纜 3.5mm2 *1C,11.25
Y6N10C3020B0,電力電纜 3.5mm2 *1C,5.63
Y6N10C3020C0,電力電纜 3.5mm2 *1C,12.38
Y6N10C3020D0,電力電纜 3.5mm2 *1C,6.19
Y6N10C3020E0,電力電纜 3.5mm2 *1C,13.5
Y6N10C3020F0,電力電纜 3.5mm2 *1C,6.75
Y6N10C3020G0,電力電纜 3.5mm2 *1C,14.63
Y6N10C3020H0,電力電纜 3.5mm2 *1C,7.31
Y6N10C3021A0,電力電纜 5.5mm2 *1C,11.25
Y6N10C3021B0,電力電纜 5.5mm2 *1C,5.63
Y6N10C3021C0,電力電纜 5.5mm2 *1C,12.38
Y6N10C3021D0,電力電纜 5.5mm2 *1C,6.19
Y6N10C3021E0,電力電纜 5.5mm2 *1C,13.5
Y6N10C3021F0,電力電纜 5.5mm2 *1C,6.75
Y6N10C3021G0,電力電纜 5.5mm2 *1C,14.63
Y6N10C3021H0,電力電纜 5.5mm2 *1C,7.31
Y6N10C3022A0,電力電纜 8mm2 *1C,14.66
Y6N10C3022B0,電力電纜 8mm2 *1C,7.33
Y6N10C3022C0,電力電纜 8mm2 *1C,16.13
